#,Country,2017[2],2016[3],2015[4],2014[5],2013[6],2012[7],2011[8][9],2010[9][10],2005[11],2000[12][13],1995[13][14]
1,China,29015434,28118794,24503326,23722890,22116825,19271808,18418876,18264761,5717619,2069069,1434772
2,United States,11189985,12198137,12100095,11660699,11066432,10335765,8661535,7743093,11946653,12799857,11985457
3,Japan,9693746,9204590,"9,278,321[22]",9774558,9630181,9943077,8398630,9628920,10799659,10140796,10195536
4,Germany[23],"5,645,581[24]","5,746,808[24]",6033164,5907548,5718222,5649260,6146948,5905985,5757710,5526615,4667364
5,India,"4,782,896[25]","4,519,341[25]","4,160,585[25]",3840160,3898425,4174713,3927411,3557073,1638674,801360,"636,000[26]"
6,South Korea,4114913,4228509,4555957,4524932,4521429,4561766,4657094,4271741,3699350,3114998,2526400
7,Mexico,4068415,3600365,3565469,3365306,3054849,3001814,2681050,2342282,1684238,1935527,935017
8,Spain,2848335,2885922,2733201,2402978,2163338,1979179,2373329,2387900,2752500,3032874,2333787
9,Brazil,2699672,2156356,2429463,3364890,3712380,3402508,3407861,"3,381,728[27]",2530840,1681517,1629008
10,France,2227000,"2,082,000[28]","1,972,000[28]","1,817,000[28]","1,740,000[28]",1967765,2242928,2229421,3549008,3348361,3474705
11,Canada,2199789,2370271,2283474,2393890,2379806,2463364,2135121,2068189,2687892,2961636,2407999
12,Thailand,1988823,1944417,1915420,1880007,2457057,2429142,1457798,1644513,1122712,411721,533200
13,United Kingdom,1749385,1816622,1682156,1598879,1597433,1576945,1463999,1393463,1803109,1813894,"1,765,000[31]"
14,Turkey,1695731,1485927,1358796,1170445,1125534,1072978,1189131,1094557,879452,430947,282000
15,Russia[32],1551293,1303989,1384399,1886646,2184266,2233103,1990155,1403244,1354504,1205581,"994,000[33]"
16,Iran,1515396,"1,164,710[34]",982337,1090846,743647,1000089,1649311,1599454,1077190,277985,
17,Czech Republic,1419993,1349896,1303603,1251220,1132931,1178995,1199845,1076384,602237,455492,216000
18,Indonesia,1216615,1177389,1098780,1298523,1206368,1052895,838388,702508,500710,379300,292710
19,Italy,1142210,1103516,1014223,697864,658206,671768,790348,838186,1038352,1738315,1667270
20,Slovakia,1001520,1040000,1035503,993000,975000,926555,639763,561933,218349,181783,22600
21,Poland,689729,681837,660603,593904,590159,654756,838133,869474,613200,504972,381000
22,South Africa,589951,599004,615658,566083,545913,539424,532545,472049,525227,345297,
23,Hungary,505400,472000,"495,370[34]",437599,222400,217840,202800,211461,152015,137398,53000
24,Argentina,"472,158[28]","472,776[28]","533,683[28]",617329,791007,764495,828771,716540,319755,339632,286000
25,Malaysia,460140,"513,445[34]",614671,596600,601407,572150,533695,567715,563408,282830,164000
26,Belgium,379140,399427,409340,516832,503504,538848,595084,555302,926515,1033294,468000
27,Morocco,376286,345106,288329,231986,"167,452[34]","108,743[34]",59477,42066,33992,31314,
28,Romania,359250,359306,387177,391422,410997,337765,335232,350912,194802,78165,93000
29,Taiwan,291563,309531,351085,379223,338720,339038,343296,303456,446345,361800,406000
30,Vietnam,"236,161[34]",236161,"50,000[34]",48871,"37,576[34]","40,470[34]",31181,42286,"31,600[34]","6,862[38]",
31,Pakistan,230250,214650,229686,148746,134145,165700,162194,152970,153393,31500,
32,Sweden,226000,205374,"188,987[24]","154,173[24]","161,080[24]","162,814[24]","188,969[24]",217084,339229,301343,490000
33,Slovenia[39],189852,133702,133092,118591,93734,130949,174119,205711,187247,98953,
34,Portugal,175544,143096,156626,161509,154016,163561,192242,158723,226834,245784,57000
35,Netherlands,157280,"44,430[34]","44,122[34]","29,807[34]",29183,57462,"73,151[40]",94132,102204,98823,132000
36,Uzbekistan[41],140247,88152,185400,245660,246641,"164,180[34]",179560,156880,94437,32273,
37,Philippines,"116,686[34]",116686,"112,493[34]",106938,"52,260[34]","55,360[34]",53921,65625,64492,38877,107000
38,Austria,99880,"108,000[34]","125,500[34]","154,340[34]","166,428[34]","143,060[34]",152505,104814,253279,141026,68000
39,Australia,98632,161294,173009,180311,215926,209730,224193,243495,394713,347122,331000
40,Finland,91598,"55,280[34]","69,053[34]","45,035[34]",7703,"2,900[34]",2540,6665,21644,38926,
41,Serbia[42],79912,80320,"83,630[34]",103150,113878,11032,11023,18033,14179,12740,
42,Colombia,74994,"79,036[34]","78,070[34]",71137,"70,686[34]",32466,41714,109333,"23,979[38]",?,"34,850[34]"
43,Algeria,60606,42008,19346,1244,0,?,?,?,?,?,?
44,Egypt,36640,"36,230[34]","36,000[34]",42515,"39,050[34]","56,480[34]",81731,116683,123425,59765,
45,Kazakhstan[43],19071,10651,14477,40162,40684,19186,8195,3176,?,?,
46,Belarus[44],13428,16864,15033,22990,22926,25425,24343,15249,26995,19324,
47,Ukraine[45],9542,5264,8244,28751,50449,76281,104654,83133,215759,31255,
48,Ecuador,"2,700[34]","2,700[34]","4,800[34]",5986,"24,322[34]","24,322[34]",24322,22335,32254,41047,
49,Tunisia,"1,940[34]","1,940[34]",540[34],540[34],"1,860[34]","1,860[34]",1860,0,?,?,
50,Venezuela,1774,2850,18300,19759,71753,104083,102409,104357,135425,21190,96400
51,Bangladesh,580[34],580[34],540[34],536,?,?,?,0,0,0,0
